date,city,max_temperature_C,min_temperature_C,avg_temperature_C,avg_day_length_hours,avg_night_length_hours,avg_sunrise_time,avg_sunset_time,avg_AQI,AQI_category,PM2_5,PM10,avg_visibility_morning_km,avg_visibility_afternoon_km,avg_visibility_night_km,cloud_cover_%,uv_radiation_index,humidity_%,wind_speed_km_h,wind_direction,rainfall_mm,season,weather_condition,year,month,day,day_of_week
03-01-2023,Delhi,17.64,8.14,12.89,10.22,13.78,06:53,17:06,209,High,232.09,374.95,9.78,10.78,8.78,55.19,3.77,64.43,10.43,S,12.28,Winter,Clear,2023,1,3,Tuesday
05-01-2023,Delhi,17.56,9.4,13.48,10.24,13.76,06:52,17:07,155,Moderate,155.89,310.84,11.12,12.12,10.12,46.33,3.42,31.52,6.59,N,13.62,Winter,Clear,2023,1,5,Thursday
06-01-2023,Delhi,16.95,9.45,13.2,10.25,13.75,06:52,17:07,191,Moderate,232.5,396.81,10.22,11.22,9.22,46.84,3.55,58.11,11.51,SE,14.28,Winter,Clear,2023,1,6,Friday
08-01-2023,Delhi,19.15,6.17,12.66,10.27,13.73,06:51,17:08,260,High,291.19,522.51,8.5,9.5,7.5,19.7,2.46,62.23,15.19,SE,8.99,Winter,Clear,2023,1,8,Sunday
11-01-2023,Delhi,17.21,8.96,13.09,10.31,13.69,06:50,17:09,139,Moderate,169.57,319.02,11.53,12.53,10.53,44.88,2.76,65.93,8.49,W,0.25,Winter,Clear,2023,1,11,Wednesday
20-01-2023,Delhi,19.32,7.55,13.43,10.44,13.56,06:46,17:13,295,High,298.74,594.97,7.62,8.62,6.62,50.95,1.51,49.65,9.93,N,8.86,Winter,Clear,2023,1,20,Friday
27-01-2023,Delhi,15.53,5.37,10.45,10.57,13.43,06:42,17:17,185,Moderate,179.38,312.59,10.38,11.38,9.38,14.94,3.75,43.42,9.07,SE,9.71,Winter,Clear,2023,1,27,Friday
28-01-2023,Delhi,19.3,9.89,14.6,10.59,13.41,06:42,17:17,157,Moderate,166.7,267.73,11.07,12.07,10.07,63.89,2.67,60.87,19.88,NE,19.37,Winter,Clear,2023,1,28,Saturday
02-02-2023,Delhi,15.72,5.26,10.49,10.7,13.3,06:39,17:20,230,High,278.34,546.56,9.25,10.25,8.25,16.27,2.05,31.33,19.55,E,2.27,Winter,Clear,2023,2,2,Thursday
07-02-2023,Delhi,19.68,8.89,14.28,10.81,13.19,06:35,17:24,276,High,266.42,470.91,8.1,9.1,7.1,43.67,3.67,42.58,17.35,W,11.92,Winter,Clear,2023,2,7,Tuesday
10-02-2023,Delhi,21.87,7.06,14.46,10.88,13.12,06:33,17:26,273,High,264.51,409.96,8.18,9.18,7.18,31.79,4.05,31.58,6.79,S,7.43,Winter,Clear,2023,2,10,Friday
12-02-2023,Delhi,21.47,5.39,13.43,10.93,13.07,06:32,17:27,260,High,289.5,536.61,8.5,9.5,7.5,46.09,4.36,59.63,10.84,NW,7.82,Winter,Clear,2023,2,12,Sunday
13-02-2023,Delhi,18.41,9.95,14.18,10.96,13.04,06:31,17:28,161,Moderate,182.09,311.18,10.97,11.97,9.97,27.55,1.41,60.56,5.17,NE,15.3,Winter,Clear,2023,2,13,Monday
14-02-2023,Delhi,17.99,7.05,12.52,10.98,13.02,06:30,17:29,261,High,298.26,517.45,8.47,9.47,7.47,45.95,1.48,49.64,10.74,S,17.82,Winter,Clear,2023,2,14,Tuesday
22-02-2023,Delhi,21.61,7.95,14.78,11.2,12.8,06:24,17:35,216,High,201.68,365.6,9.6,10.6,8.6,67.52,1.86,50.2,15.79,SE,5.48,Winter,Clear,2023,2,22,Wednesday
23-02-2023,Delhi,19.3,8.4,13.85,11.22,12.78,06:23,17:36,203,High,202.68,335.83,9.93,10.93,8.93,21.29,1.04,46.79,19.55,S,4.31,Winter,Clear,2023,2,23,Thursday
26-02-2023,Delhi,18.02,9.85,13.93,11.31,12.69,06:20,17:39,147,Moderate,171.05,306.81,11.32,12.32,10.32,16.76,5.56,61.35,7.92,S,15.8,Winter,Clear,2023,2,26,Sunday
28-02-2023,Delhi,19.29,9.93,14.61,11.36,12.64,06:19,17:40,254,High,282.36,558.59,8.65,9.65,7.65,40.03,4.97,37.53,7.25,SW,2.11,Winter,Clear,2023,2,28,Tuesday
01-03-2023,Delhi,42.62,27.27,34.94,11.39,12.61,06:18,17:41,100,Low,107.3,196.45,12.5,13.5,11.5,57.4,7.26,36.24,7.91,W,16.24,Summer,Clear,2023,3,1,Wednesday
02-03-2023,Delhi,42.59,30.98,36.79,11.42,12.58,06:17,17:42,96,Low,100.21,166.72,12.6,13.6,11.6,56.42,7.58,62.45,11.96,SE,4.23,Summer,Clear,2023,3,2,Thursday
05-03-2023,Delhi,43.42,27.36,35.39,11.5,12.5,06:14,17:45,128,Moderate,130.65,199.25,11.8,12.8,10.8,31.33,8.13,63.22,17.61,E,3.05,Summer,Clear,2023,3,5,Sunday
06-03-2023,Delhi,38.35,27.78,33.06,11.53,12.47,06:14,17:45,117,Moderate,109.6,180.01,12.07,13.07,11.07,52.88,9.11,32.56,18.51,NE,15.02,Summer,Clear,2023,3,6,Monday
09-03-2023,Delhi,40.19,29.02,34.6,11.62,12.38,06:11,17:48,112,Moderate,120.06,209.48,12.2,13.2,11.2,37.08,10.83,60.23,8.91,SW,4.11,Summer,Clear,2023,3,9,Thursday
22-03-2023,Delhi,42.78,31.59,37.18,12,12,06:00,18:00,139,Moderate,133.08,257.59,11.53,12.53,10.53,19.38,9.14,54,8.46,SE,7.2,Summer,Clear,2023,3,22,Wednesday
24-03-2023,Delhi,43.21,28.7,35.95,12.06,11.94,05:58,18:01,124,Moderate,112.9,184.52,11.9,12.9,10.9,23.04,10.88,31.74,19.69,SE,1.43,Summer,Clear,2023,3,24,Friday
02-04-2023,Delhi,42.58,31.16,36.87,12.32,11.68,05:50,18:09,81,Low,97.12,192.88,12.97,13.97,11.97,44.39,10.12,34.49,10.5,N,2.02,Summer,Clear,2023,4,2,Sunday
04-04-2023,Delhi,44.85,28.04,36.44,12.38,11.62,05:48,18:11,92,Low,92.04,159.5,12.7,13.7,11.7,45.62,8.07,48.35,14.69,NW,16.64,Summer,Clear,2023,4,4,Tuesday
06-04-2023,Delhi,44.9,25.34,35.12,12.44,11.56,05:46,18:13,132,Moderate,150.92,268.81,11.7,12.7,10.7,29.9,7.73,49.33,8.67,S,19.1,Summer,Clear,2023,4,6,Thursday
09-04-2023,Delhi,43.83,29.3,36.57,12.52,11.48,05:44,18:15,128,Moderate,153.06,247.34,11.8,12.8,10.8,69.9,9.78,50.31,9.63,SW,0.12,Summer,Clear,2023,4,9,Sunday
11-04-2023,Delhi,44.14,30.47,37.31,12.58,11.42,05:42,18:17,72,Low,81.23,155.03,13.2,14.2,12.2,38.11,8.7,39.05,9.33,N,2.99,Summer,Clear,2023,4,11,Tuesday
