date,city,max_temperature_C,min_temperature_C,avg_temperature_C,avg_day_length_hours,avg_night_length_hours,avg_sunrise_time,avg_sunset_time,avg_AQI,AQI_category,PM2_5,PM10,avg_visibility_morning_km,avg_visibility_afternoon_km,avg_visibility_night_km,cloud_cover_%,uv_radiation_index,humidity_%,wind_speed_km_h,wind_direction,rainfall_mm,season,weather_condition,year,month,day,day_of_week
07-01-2023,Guwahati,26.73,17.52,22.12,10.44,13.56,06:46,17:13,96,Low,108.98,187.24,12.6,13.6,11.6,25.56,3.73,35.68,8.56,SW,11.79,Winter,Clear,2023,1,7,Saturday
12-01-2023,Guwahati,31.79,19.91,25.85,10.49,13.51,06:45,17:14,83,Low,99.48,196.38,12.93,13.93,11.93,19.07,5.05,42.78,16.4,SW,6.69,Winter,Clear,2023,1,12,Thursday
14-01-2023,Guwahati,29.84,20.38,25.11,10.52,13.48,06:44,17:15,36,Low,35.36,62.86,14.1,15.1,13.1,50.05,2.81,40.61,13.17,SW,11.48,Winter,Clear,2023,1,14,Saturday
15-01-2023,Guwahati,29.88,18.81,24.34,10.53,13.47,06:44,17:15,75,Low,94.7,183.9,13.12,14.12,12.12,52.04,5.28,50.46,12.01,E,18.67,Winter,Clear,2023,1,15,Sunday
20-01-2023,Guwahati,33.35,16.78,25.06,10.6,13.4,06:41,17:18,47,Low,44.33,81.06,13.82,14.82,12.82,41.53,2.66,55.75,19.7,W,17.85,Winter,Clear,2023,1,20,Friday
25-01-2023,Guwahati,28.2,22.44,25.32,10.68,13.32,06:39,17:20,71,Low,77.88,140.51,13.22,14.22,12.22,66.27,1.04,52.87,13.59,NE,19.3,Winter,Clear,2023,1,25,Wednesday
26-01-2023,Guwahati,32.17,22.45,27.31,10.7,13.3,06:38,17:21,89,Low,111.45,167.42,12.78,13.78,11.78,68.47,2.11,31.17,12.09,E,9.45,Winter,Clear,2023,1,26,Thursday
28-01-2023,Guwahati,25.61,20.22,22.92,10.74,13.26,06:37,17:22,57,Low,64.2,97.73,13.57,14.57,12.57,22.47,3.72,69.6,19.81,N,7.83,Winter,Clear,2023,1,28,Saturday
29-01-2023,Guwahati,32.92,24.93,28.93,10.76,13.24,06:37,17:22,118,Moderate,117.15,204.39,12.05,13.05,11.05,58.54,3.53,47.65,15.54,W,2.21,Winter,Clear,2023,1,29,Sunday
30-01-2023,Guwahati,32.46,17.53,25,10.77,13.23,06:36,17:23,93,Low,108.81,188.24,12.68,13.68,11.68,55.02,3.74,46.71,10.73,NW,17.31,Winter,Clear,2023,1,30,Monday
