date,city,max_temperature_C,min_temperature_C,avg_temperature_C,avg_day_length_hours,avg_night_length_hours,avg_sunrise_time,avg_sunset_time,avg_AQI,AQI_category,PM2_5,PM10,avg_visibility_morning_km,avg_visibility_afternoon_km,avg_visibility_night_km,cloud_cover_%,uv_radiation_index,humidity_%,wind_speed_km_h,wind_direction,rainfall_mm,season,weather_condition,year,month,day,day_of_week
03-01-2023,Mumbai,26.82,24.08,25.45,10.88,13.12,06:33,17:26,77,Low,82.51,140.29,13.07,14.07,12.07,45.17,3.53,36.13,14.17,SW,18.95,Winter,Clear,2023,1,3,Tuesday
04-01-2023,Mumbai,25.18,23.72,24.45,10.89,13.11,06:33,17:26,114,Moderate,113.89,203.02,12.15,13.15,11.15,19.15,3.88,58.29,14.1,N,18.45,Winter,Clear,2023,1,4,Wednesday
07-01-2023,Mumbai,29.24,22.36,25.8,10.91,13.09,06:32,17:27,106,Moderate,114.09,223.94,12.35,13.35,11.35,60.33,1.62,69.39,18.81,NE,2.26,Winter,Clear,2023,1,7,Saturday
11-01-2023,Mumbai,33.7,20.19,26.94,10.94,13.06,06:31,17:28,67,Low,83.21,141.42,13.32,14.32,12.32,10.28,2.67,62.11,10.97,NE,6.7,Winter,Clear,2023,1,11,Wednesday
13-01-2023,Mumbai,30.37,24.2,27.29,10.95,13.05,06:31,17:28,62,Low,61.17,102.37,13.45,14.45,12.45,37.15,1.7,38.98,7.65,SW,9.04,Winter,Clear,2023,1,13,Friday
24-01-2023,Mumbai,29.98,19.19,24.59,11.06,12.94,06:28,17:31,109,Moderate,112.34,188.86,12.28,13.28,11.28,49.81,1.89,30.52,19.42,N,12.65,Winter,Clear,2023,1,24,Tuesday
26-01-2023,Mumbai,26.49,19.15,22.82,11.09,12.91,06:27,17:32,35,Low,37.68,75.3,14.12,15.12,13.12,55,2.05,32.68,18.47,E,11.91,Winter,Clear,2023,1,26,Thursday
31-01-2023,Mumbai,27.05,16.91,21.98,11.15,12.85,06:25,17:34,32,Low,33.29,57.79,14.2,15.2,13.2,37.2,3.62,61.02,11.61,NW,1.31,Winter,Clear,2023,1,31,Tuesday
01-02-2023,Mumbai,29.01,20.6,24.8,11.16,12.84,06:25,17:34,46,Low,43.97,69.96,13.85,14.85,12.85,26.24,4.22,44.93,11.13,SE,18.92,Winter,Clear,2023,2,1,Wednesday
09-02-2023,Mumbai,25.25,16.56,20.91,11.28,12.72,06:21,17:38,76,Low,94.44,172.77,13.1,14.1,12.1,50.31,1.1,39.24,6.56,S,4.44,Winter,Clear,2023,2,9,Thursday
