date,city,max_temperature_C,min_temperature_C,avg_temperature_C,avg_day_length_hours,avg_night_length_hours,avg_sunrise_time,avg_sunset_time,avg_AQI,AQI_category,PM2_5,PM10,avg_visibility_morning_km,avg_visibility_afternoon_km,avg_visibility_night_km,cloud_cover_%,uv_radiation_index,humidity_%,wind_speed_km_h,wind_direction,rainfall_mm,season,weather_condition,year,month,day,day_of_week
02-01-2023,Pune,33.86,16.51,25.19,10.91,13.09,06:32,17:27,35,Low,43.67,72.68,14.12,15.12,13.12,35.69,4.16,68.61,15.89,SW,3.65,Winter,Clear,2023,1,2,Monday
03-01-2023,Pune,28.67,16.47,22.57,10.92,13.08,06:32,17:27,48,Low,48.59,80.5,13.8,14.8,12.8,41.4,5.61,30.27,17.18,W,7.97,Winter,Clear,2023,1,3,Tuesday
10-01-2023,Pune,33.25,22.95,28.1,10.96,13.04,06:31,17:28,49,Low,59.14,111.33,13.78,14.78,12.78,11.53,4.94,55.66,18.55,NW,13.15,Winter,Clear,2023,1,10,Tuesday
14-01-2023,Pune,27.67,23.12,25.4,10.99,13.01,06:30,17:29,35,Low,37.42,67.35,14.12,15.12,13.12,62.28,4.93,67.05,9.11,S,10.92,Winter,Clear,2023,1,14,Saturday
15-01-2023,Pune,34.12,15.98,25.05,11,13,06:29,17:30,87,Low,106.8,177.72,12.82,13.82,11.82,24.61,2.53,39.25,5.96,W,13.39,Winter,Clear,2023,1,15,Sunday
23-01-2023,Pune,26.77,15.05,20.91,11.08,12.92,06:27,17:32,70,Low,70.09,108.08,13.25,14.25,12.25,62.28,2.45,67.74,16.75,NE,4.71,Winter,Clear,2023,1,23,Monday
24-01-2023,Pune,33.03,24.87,28.95,11.09,12.91,06:27,17:32,83,Low,83.81,129.14,12.93,13.93,11.93,28.43,5.3,55.53,19.39,W,12.5,Winter,Clear,2023,1,24,Tuesday
06-02-2023,Pune,27.18,15.88,21.53,11.26,12.74,06:22,17:37,47,Low,47.51,90.75,13.82,14.82,12.82,44.67,2.54,46.07,12.16,NE,12.72,Winter,Clear,2023,2,6,Monday
07-02-2023,Pune,32.93,24.81,28.87,11.27,12.73,06:21,17:38,104,Moderate,113.92,224.08,12.4,13.4,11.4,65.33,1.71,58.23,9.56,W,9.38,Winter,Clear,2023,2,7,Tuesday
09-02-2023,Pune,26.39,21.12,23.76,11.3,12.7,06:20,17:39,47,Low,57.57,95.74,13.82,14.82,12.82,23.98,4.48,64.5,14.44,NW,7,Winter,Clear,2023,2,9,Thursday
